C <00:16:19> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:16:20> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:16:29> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:16:30> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:16:39> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:16:40> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:16:49> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:17:22> pResult->Query.select.pResult == NULL
C <00:17:27> pResult->Query.select.pResult == NULL
A <00:18:20> World Server Disconnected! Server Will Terminate...
C <00:18:30> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:18:31> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:18:40> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:18:41> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:18:50> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:18:51> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:19:00> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:19:01> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:19:10> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:19:11> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:19:20> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:19:21> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:19:30> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:19:31> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:19:40> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:19:41> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:19:50> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:19:51> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:20:00> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:20:01> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:20:10> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
