### Packet Size Reporting Start!!! ###

### Login Agent to Client ### 
[ SIZE :    87 ] DSTC_DUNGEON_SIEGEINFO
[ SIZE :    12 ] DSTC_DUNGEON_STOPSTATUSEFFECT
[ SIZE :     7 ] DSTC_DUNGEON_USED_POTION
[ SIZE :    43 ] DSTC_END_MATCH_MAN2MAN
[ SIZE :     4 ] DSTC_EVENT_ALIVE_MONSTER_COUNT
[ SIZE :     6 ] DSTC_EVENT_ALIVE_USER_COUNT
[ SIZE :     3 ] DSTC_EVENT_CHANGE_LAYER_RESULT
[ SIZE :     8 ] DSTC_EVENT_CLEAR_CONDITION
[ SIZE :     6 ] DSTC_EVENT_DUNGEON_CLEAR
[ SIZE :    22 ] DSTC_EVENT_DUNGEON_CLEARUSER_SEND
[ SIZE :    10 ] DSTC_EVENT_DUNGEON_CLEAR_PRESENT
[ SIZE :    37 ] DSTC_EVENT_DUNGEON_CLOSE
[ SIZE :     4 ] DSTC_EVENT_DUNGEON_CLOSE_DISPLAY
[ SIZE :     5 ] DSTC_EVENT_DUNGEON_ENTER
[ SIZE :     2 ] DSTC_EVENT_DUNGEON_FAILED
[ SIZE :    37 ] DSTC_EVENT_DUNGEON_FIRST_TIMEOUT
[ SIZE :     6 ] DSTC_EVENT_DUNGEON_JOINUSER_COUNT
[ SIZE :     2 ] DSTC_EVENT_DUNGEON_LAST_LAYER
[ SIZE :     5 ] DSTC_EVENT_DUNGEON_LAYER_CLEAR
[ SIZE :    41 ] DSTC_EVENT_DUNGEON_OPEN_INFO
[ SIZE :     9 ] DSTC_EVENT_DUNGEON_SURVIVAL_DISPLAY
[ SIZE :    11 ] DSTC_EVENT_DUNGEON_TRAINING_DISPLAY
[ SIZE :     4 ] DSTC_EVENT_DUNGEON_TRAINING_ONELAYER_CLAYER
[ SIZE :     3 ] DSTC_EVENT_EXCEPTION_RESULT
[ SIZE :     6 ] DSTC_FINISH_MAPLOADING
[ SIZE :     8 ] DSTC_GUARDIANSUPPLIES_CANCAL_RETURN_INV
[ SIZE :    10 ] DSTC_GUARDIAN_LEVELUP
[ SIZE :   367 ] DSTC_GUARDIAN_STATUS
[ SIZE :    11 ] DSTC_GUILDUSER_FLAG
[ SIZE :    42 ] DSTC_GUILD_FAIL
[ SIZE :    11 ] DSTC_GUILD_FLAG
[ SIZE :    31 ] DSTC_GUILD_INFO
[ SIZE :     8 ] DSTC_GUILD_ITEM
[ SIZE :    23 ] DSTC_GUILD_PORTALFAIL
[ SIZE :     7 ] DSTC_GUILD_RANK
[ SIZE :    43 ] DSTC_GUILD_WAR_MESSAGE
[ SIZE :    12 ] DSTC_GURADIAN_EGG_SUMMON_STATUS
[ SIZE :    10 ] DSTC_HELMET_ITEM
[ SIZE :     2 ] DSTC_ITEMMAKING_FAIL
[ SIZE :    42 ] DSTC_ITEMMAKING_SUCCESS
[ SIZE :     3 ] DSTC_ITEMUPGRADE_FAIL
[ SIZE :    43 ] DSTC_ITEMUPGRADE_FAIL_INSURANCE
[ SIZE :    43 ] DSTC_ITEMUPGRADE_SUCCESS
[ SIZE :    65 ] DSTC_ITEM_MOVE
[ SIZE :    55 ] DSTC_ITEM_PICKUP
[ SIZE :     4 ] DSTC_ITEM_PUT
[ SIZE :    56 ] DSTC_ITEM_USED_NATIVE
[ SIZE :  4249 ] DSTC_JOIN
[ SIZE :     6 ] DSTC_KILL_MON
